CCI ID,NAME,Hylak_id,Depth_avg,Lake_area
67, lac Kivu,163,237.0,2400.88
146, lake Saint Clair,66,2.9,1161.17
135, Sevan lake,139,26.5,1242.22
34, Urmia lake,142,0.4,4932.76
64, Tonle Sap lake,153,12.7,2415.98
69, lake Edward,162,34.2,2241.98
46, lagoa Mirim,86,6.0,3899.7
50, lake Peipus/Peipsi,103,7.2,3489.0
30, lake Albert,159,25.0,5526.92
22, lake Turkana,158,31.8,7473.43
36, lake Mweru,167,7.6,5042.56
1149, Rann of Kutch lake,177357,1.8,3.74
20, lago Titicaca,78,111.6,8002.51
241, Sarygamysh lake,137,12.2,3772.03
100000011,Rukwa,166,3.5,5894.78
21, lago Nicaragua/Cocibolca/Granada,72,13.3,7833.32
25, Issyk Kul,136,280.5,6195.93
53, Uvs lake,121,9.9,3600.81
45, ozero Khanka,134,4.4,4118.84
7, lake Tanganyika,17,577.0,32826.65
10, lake Malawi/Nyasa/Niassa,18,261.3,29544.0
15, lake Ontario,7,84.8,19347.36
12, lake Erie,9,19.4,25767.79
4, Aral sea,13,1.1,23865.91
5, lake Huron,8,59.8,59399.3
2, lake Superior,5,146.7,81843.92
3, lake Victoria,16,41.1,67166.22
1802, laguna San Pedro,10464,1.8,85.53
329, lago Salines Grandes,84,0.3,1033.67
3471, laguna del Palmar,10434,1.3,48.74
1511, lago Pellegrini,980,2.0,108.65
343, Nahuel Huapi lake,990,156.1,528.44
1259, lago Strobel,10657,22.7,96.87
2762, laguna Coronda,965,2.1,118.92
1749, laguna de Pozuelo,10338,2.6,71.08
2280, Ibera wetlands (part of)/lago Esteros del Ibera,10406,2.2,86.14
2099, laguna del Monte,973,3.2,137.55
3218, laguna Melincue,10490,1.5,93.81
1975, laguna de Epecuen,974,3.9,149.74
219, lago Colhue Huapi,996,2.6,623.21
637, embalse rio Hondo,959,8.0,218.43
448, lago Musters,995,13.7,410.52
1295, Llancanelo lake,971,3.7,405.85
220, embalse Ezequiel Ramos Mejia,981,30.9,711.51
443, lago Cardiel,1001,18.2,349.05
379, Cerros Colorados Complex/embalse los Barrales and embalse Mari Menuco,978,7.0,395.81
171, lago Viedma,89,100.0,1193.37
84, lago Mar Chiquita,85,2.4,6132.89
3478, lake Sorell,16668,14.8,45.71
2232, Mokoan swamp (Seven Mile swamp),16631,6.7,54.86
3189, lake George,16640,4.2,49.82
1170, Great lake,1699,22.6,148.26
1726, Terewah/Narran lake,16471,1.8,67.09
800, lake Corangamite and lake Gnarpurt,1697,5.2,213.31
1409, Tandure lake and Pamamaroo lake and lake Wetherell and Bijijie lake,16551,4.8,65.68
1266, lake Wellington,1696,2.3,146.61
1422, lake Hindmarsh,1693,9.8,128.77
1537, lake Victoria,1690,6.3,107.51
1111, lago Uru Uru,10308,1.1,82.91
1951, laguna Guachuna,920,2.2,107.75
1872, lago Rogagua,923,2.2,152.75
648, lago Rogaguado,919,7.8,307.92
1016, Coipasa lake,933,0.9,886.54
133, Poopo lake,79,1.5,2247.91
953, lago Urua,889,5.2,357.76
1955, lago do Acara,10088,2.6,37.62
1560, lago do Rei and lago Marimba,10055,1.3,43.28
360, represa do Jurumirim,953,18.8,373.64
494, represa de Agua Vermelha,934,21.9,507.07
1241, rio Tefe,902,17.5,253.27
1282, Tepouma/Lagoa de Sapucua,885,3.9,186.99
915, lago Cabaliana,901,6.1,147.21
1137, lago Aiapua,908,6.4,123.44
265, bahia de Caxiuana,886,3.5,582.22
801, lagoa Feia,947,1.8,161.56
2015, lagoa dos Barros,10441,9.1,90.35
277, lago de Coari,907,20.0,642.0
513, lago Canacari,899,11.1,365.67
1656, lagoa dos Ouadros,963,7.6,117.78
231, Mangueira lagoon,968,2.6,763.41
2243, lagoa Paru,887,2.2,190.99
134, rio Xingu,1080632,3.3,0.24
200000013,Rio Tapajaos and Rio Arapiuns,1082205,2.0,0.15
1190, lago Grande de Monte Alegre,894,3.9,408.63
2367, Assean lake,5783,11.1,65.08
482, Karsakuwigamak lake and Notigi lake,462,6.4,693.35
3129, Rorey lake,2738,13.5,59.74
