cci_lake_id,obs_mean,obs_summer_mean,obs_warmest_mean,obs_coldest_mean,obs_ice_duration,obs_cloud_mean,obs_cloud_summer_mean,obs_cloud_warmest_mean,obs_cloud_coldest_mean
457,25.41445956515034,24.422059460319765,26.45613716455934,23.873066996161665,0.0,24.837391796422203,24.369684291542374,26.46129334196772,23.875712897360586
300001398,18.131041086554188,27.195030096171255,27.957119273602284,6.91052934395698,0.0,19.093337324152124,27.173448555524523,28.08999896427283,6.914156373721258
300010368,21.825240427677887,26.707545894767097,27.45543801423161,15.657582616570034,0.0,21.594745141630558,26.47446163105227,27.366125746978735,15.464555405832098
300013159,7.815917394348792,17.796073528813718,19.38489568762091,0.0016061861943766453,127.14285714285714,11.522830876634204,18.710279322025876,20.07959562585281,0.08036702473960641
564,11.160767058505563,23.102725492270782,24.34956930349014,0.019461403896920297,85.19047619047619,15.60899641092181,23.053250371777555,24.31633606105333,0.029535111422284113
300009807,25.695061815788517,24.175307506873132,27.272620814027103,23.711597393006997,0.0,25.56892416032959,24.260428920744847,27.482605609138698,23.638055532003186
300009809,21.730277330323148,19.442271815210265,23.661797689329482,18.913634566863575,0.0,21.699504133979268,19.557115655267815,23.712960050928615,18.899737343421325
300015374,19.725375989187,25.214833952230475,26.201331820197456,12.763722820948615,0.0,20.786563919012625,25.232160637807283,26.20263342224999,12.82097870477518
300016389,20.712615580763206,16.74435203455687,24.881818358456695,16.179758239305073,0.0,20.124300299961597,16.737418408561158,25.00925336280173,16.197722204456994
286,26.597980364402055,24.877098952201937,28.24058356741662,24.33503576501034,0.0,27.054830820253308,25.003526525239714,28.49328491139337,24.405704701532517
388,25.633141161706643,23.581445190921748,27.428472013695526,23.08362924283643,0.0,26.048383884084707,23.500990876306656,27.45388123110003,23.199081259599048
478,25.98979304387022,23.81902576742269,27.9283412566976,23.339143888542228,0.0,26.12802966709304,23.59250438225966,28.052958542976068,23.208351324945113
300001530,25.848839392655854,26.849591875438307,28.14453720825896,21.976818413059267,0.0,24.81927230234612,27.564645771065166,28.36524531773402,21.983968739502977
300009854,27.671365299832548,26.723313433306462,28.72033566778442,26.168517556574322,0.0,27.312141139188522,26.673037133329135,28.816273623350504,26.149738955925688
300014478,10.265834043669447,19.696704152635764,20.815185320688677,0.7136298732490284,34.714285714285715,12.480005400625972,19.98527507366869,20.86855568528132,0.667815772634003
300014660,14.954266840848984,23.187975414149786,23.725534675006987,4.274751145463035,1.8095238095238095,17.709515119593206,23.181183939553083,23.723083817726828,4.293080558491765
300016017,19.565209249101088,17.726457144261417,21.176592865025835,17.31907244934772,0.0,19.752941438099718,17.76861666450207,21.169474489970696,17.36362964814928
460,14.809705248546335,8.492989634809392,21.50600952165144,7.889225369798691,0.0,14.373634016147163,8.426404733465402,21.534159081909284,7.85150516789581
372,24.26702732772531,26.57067288845636,27.465190720350662,18.61931718674424,0.0,22.74472895188521,27.298671457244154,27.981961208171978,18.60054232102711
499,24.769241106753682,23.09352842663964,26.151368195284824,22.465444900192388,0.0,24.51224053854718,23.035924178651484,26.264366360128374,22.43078864842074
567,21.41045229404921,14.696524593551244,27.189580555258424,13.71485884810637,0.0,21.981353996172945,14.618707229742588,27.072076081378025,13.585582852442393
300014333,12.776231545962146,21.926609598247836,23.008871455784437,2.8516852263646504,0.7619047619047619,15.07626127085659,22.539216711279842,23.329258017997727,2.699181464506782
300014651,14.954266840848984,23.187975414149786,23.725534675006987,4.274751145463035,1.8095238095238095,17.74633819908856,23.173170304609215,23.722799855093182,4.247990195412345
300014891,13.09706478322435,22.921584500420767,25.142625386048827,2.4564071242155627,0.6666666666666666,15.229995628417399,23.99071585361152,26.061327436472613,2.4321837997835987
130,6.538966400340476,0.024820320713197112,18.65794152251528,-0.00034179687497720013,159.61904761904762,8.615839607702721,0.009646929114333343,18.755286809892887,-0.00034179687497720013
305,26.11742680313542,26.642301144475447,27.33424952361092,24.344200696734514,0.0,26.286024565638055,26.610266676664445,27.348080120520134,24.34120098252982
1357,23.446124353371534,27.587891353188613,28.088627800955322,16.479413376742528,0.0,21.894927269185274,27.78747113626217,28.417985657322077,16.490372600154707
300014387,7.9340508918380195,16.30626464710663,20.608465050469697,0.029868365499077947,108.04761904761905,9.390053266903184,15.839410752518722,21.040928065527833,0.02993161585726573
300015283,21.50720852396378,27.12955637412538,29.07408428813926,12.53546070608538,0.0,22.555152645549242,27.099429007864583,29.079465653915268,12.356408927995371
161,18.79934675128812,24.399106583641434,25.342018146215963,12.10065840805611,0.0,19.02232896975952,24.129161346555364,25.12600628166286,11.770890425429695
300001551,24.53058463174954,27.243969849111977,28.161797715633252,18.24477586011344,0.0,23.101909270310074,27.574761482138573,28.303699147957506,18.233917769710835
300009815,25.787314716239504,24.258142559334622,27.354068931028024,23.82640765241395,0.0,25.569079632923437,24.303301609982796,27.48132588862605,23.803752104732318
300015778,26.059422217092877,27.317381519848944,27.97734818691211,23.671999024331203,0.0,26.04488836737706,27.723778878028828,28.168966388826988,23.7404363626107
108,26.045046883217957,25.7678797672376,27.411000347153752,24.31250880759496,0.0,26.146088975888738,25.67201581991981,27.422978931455923,24.323523561662785
574,23.148702262992835,23.54045105730774,25.010729266197803,20.18921665281988,0.0,22.63081471273666,23.680605839298007,25.034443203023482,20.17310205683915
1321,17.676826344962148,12.251430303628991,24.020037360939305,11.455034103375151,0.0,18.432973961848948,12.256471561105686,23.994752778787543,11.46049627368627
330,26.03538951310115,26.58104067849161,28.54068282971024,22.273094501127527,0.0,25.48255759567003,27.54506470235191,28.881259011825392,22.195854183438705
300015892,25.89449880779025,26.277422197890495,27.033030781384042,24.20792114914107,0.0,26.231842298698265,26.2406750721419,27.077178248488448,24.217790707583173
65,21.508282054708836,26.073491974346688,26.76332409386614,15.71105025679328,0.0,21.21612518161989,25.98063179286183,26.82955269346303,15.578761283777299
401,25.574685519382932,24.570134501576234,26.628896027838344,23.986514031288483,0.0,25.102716836703067,24.549513495009133,26.670362580518535,23.95742520737983
144,3.6225572654860305,10.056344875654268,12.895218532657989,-0.00034179687497720013,204.9047619047619,3.5972871364486814,10.031398898846136,13.15645910029813,-0.00034179687497720013
300001549,25.82994544055349,26.31457146808477,27.443652378062126,23.970312222785974,0.0,25.55777404530378,26.753772216204847,27.552989242241203,23.940565629652802
