cci_lake_id,a2w_mean,a2w_warmest_mean,a2w_coldest_mean,a2w_ice_days_0,a2w_ice_days_076,a2w_cloud_mean,a2w_cloud_warmest_mean,a2w_cloud_coldest_mean,a2w_cloud_ice_days_0,a2w_cloud_ice_days_076,a2w_diff_mean,a2w_diff_warmest_mean,a2w_diff_ice_days_0,a2w_diff_ice_days_076,lstm_mean,lstm_warmest_mean,lstm_coldest_mean,lstm_ice_days_0,lstm_ice_days_076,lstm_cloud_mean,lstm_cloud_warmest_mean,lstm_cloud_coldest_mean,lstm_cloud_ice_days_0,lstm_cloud_ice_days_076,lstm_diff_mean,lstm_diff_warmest_mean,lstm_diff_ice_days_0,lstm_diff_ice_days_076,a2w_pval_mean,a2w_pval_warmest_mean,a2w_pval_coldest_mean,a2w_pval_ice_days_0,a2w_pval_ice_days_076,lstm_pval_mean,lstm_pval_warmest_mean,lstm_pval_coldest_mean,lstm_pval_ice_days_0,lstm_pval_ice_days_076
1827,3.6369151695920072,11.970925075385756,0.0,194.5166666666667,203.78333333333336,3.568475575740659,11.53450449169831,0.0,191.88333333333333,201.26666666666665,-0.06843959385134823,-0.4364205836874451,-2.6333333333333826,-2.5166666666667084,3.883907488192462,12.771462567007168,-0.010514146532062356,52.466666666666676,180.1,3.8543700324233967,12.687368322320788,-0.037924244976331,63.833333333333336,179.8666666666667,-0.02953745576906508,-0.08409424468637994,11.36666666666666,-0.23333333333329165,4.507503454507044e-08,3.071906895830271e-10,,0.010689632111946235,0.002588421749326332,0.42872804528662156,0.33758595273156433,0.41702277580017943,0.5140149798041511,0.8973121066289219
2238,8.721463667125464,21.41719864914246,0.0,125.03333333333333,133.43333333333334,8.702440317632266,21.525156427948893,0.0,128.45,136.05,-0.019023349493197728,0.10795777880643342,3.416666666666657,2.6166666666666742,8.902768550415056,21.74446208333333,-0.026260895759314628,56.06666666666666,117.99999999999997,8.89728689987847,21.210788207526882,0.08911138457515921,38.61666666666666,103.3,-0.005481650536586002,-0.5336738758064499,-17.450000000000003,-14.699999999999974,0.44875824221969773,0.2795934665438873,,0.11558626220685508,0.09656251661985846,0.9681414267008228,0.001530392729978624,0.3712075660485292,0.3856009367135622,0.10800585876608293
2720,1.990645787143689,8.660508376259,0.0,245.40000000000003,252.68333333333334,1.9253856622317733,8.34742202772265,0.0,243.95,252.13333333333335,-0.06526012491191557,-0.3130863485363484,-1.4500000000000455,-0.549999999999983,2.0564809048779598,9.356169633560933,-0.07653925994241409,157.81666666666666,255.46666666666664,2.115239404260519,9.472987510302866,-0.04860108010719063,142.8,252.5,0.05875849938255939,0.11681787674193345,-15.016666666666652,-2.96666666666664,1.1698245958021167e-06,1.0579662799913801e-05,,0.040153514825525066,0.4672065589854213,0.20290898517130362,0.3045081394475477,0.388979969272618,0.6856375591913269,0.04903242813049962
1417,6.662307490736313,17.369236423748816,0.0,134.83333333333331,143.45,6.680031247935693,17.39457859276071,0.0,134.54999999999998,142.78333333333336,0.017723757199379797,0.02534216901189268,-0.28333333333333144,-0.6666666666666288,6.796926540153433,17.724280263440857,-0.051780141913082986,73.63333333333334,133.46666666666667,6.9042654411287385,17.925841995161292,-0.04737635288208345,55.7,131.1,0.1073389009753054,0.20156173172043523,-17.933333333333337,-2.3666666666666742,0.3299801322799568,0.699045798953654,,0.7993983770964107,0.7088619540623216,0.039675546359753004,0.07533879808331835,0.9477392276602774,0.3714639779808281,0.25291568423731825
2305,1.0617981762321826,5.55208096714277,0.0,263.41666666666663,273.1833333333333,1.0559655305953983,5.54540778322,0.0,261.03333333333336,272.7,-0.005832645636784317,-0.006673183922770498,-2.383333333333269,-0.48333333333329165,1.1730167075200817,5.967233450777778,-0.02854416067081575,151.40000000000003,272.2333333333334,1.1821659035751655,5.968542686055555,-0.035725986126530954,109.63333333333333,270.7333333333333,0.009149196055083797,0.0013092352777768212,-41.76666666666671,-1.5000000000001137,0.4831191744119886,0.8804105273817187,,0.015011826517762464,0.2816776321996026,0.5513197477420333,0.9855624881829013,0.5467225276514829,0.126873775162365,0.015536555554571195
1130,3.3448388017117545,11.970702680379123,0.0,204.41666666666666,212.31666666666666,3.367572941656891,11.95247836403,0.0,200.56666666666666,209.58333333333334,0.022734139945136622,-0.018224316349122915,-3.8499999999999943,-2.73333333333332,3.5852720703213947,12.979780444301076,-0.03139440746118579,80.53333333333333,196.1,3.5790367265314655,12.85710038091398,-0.05555980102674889,91.76666666666667,197.35,-0.006235343789929182,-0.12268006338709547,11.233333333333334,1.25,0.02622519870714913,0.8024535279293327,,0.0017384244785240831,0.00023985189768874093,0.821303011308228,0.24052739991644675,0.332165390536314,0.632955433885245,0.21503871376697228
2202,3.0710462750633374,11.235990299551261,0.0,215.01666666666665,222.51666666666665,2.9474729996854245,10.521432185454035,0.0,210.96666666666664,219.48333333333335,-0.12357327537791285,-0.7145581140972261,-4.050000000000011,-3.033333333333303,3.0815171759944056,11.967100575430106,-0.2456810630427427,89.63333333333333,216.01666666666665,3.221143482304395,12.099786883648745,-0.03471307941349362,79.76666666666665,213.1333333333333,0.13962630630998962,0.13268630821863958,-9.866666666666674,-2.883333333333354,1.9092593739223373e-11,4.587890802970048e-13,,0.00039522064345480815,0.0009411714117906555,0.3250563037684414,0.5628078607077136,0.381849952069515,0.7283457245801679,0.37078115486160046
629,6.670904873330943,17.39698256400444,0.0,134.65000000000003,143.98333333333332,6.703946532252286,17.36440012314367,0.0,133.13333333333335,140.51666666666668,0.03304165892134314,-0.032582440860768,-1.51666666666668,-3.46666666666664,6.796926540153433,17.724280263440857,-0.051780141913082986,73.63333333333334,133.46666666666667,6.838785069325188,17.791100490591397,-0.08361510989623484,80.58333333333333,133.26666666666668,0.04185852917175481,0.06682022715054003,6.949999999999989,-0.19999999999998863,0.09558967233778033,0.6693014963067725,,0.23898185228847846,0.051170883780874254,0.6342676095866632,0.6318163998415882,0.5897429793260245,0.704389844013195,0.860264359765944
2048,1.9275653456986261,8.499785702820716,0.0,247.33333333333331,254.98333333333335,1.9063108363528471,8.31517478662633,0.0,242.6,251.91666666666669,-0.021254509345778994,-0.1846109161943872,-4.73333333333332,-3.066666666666663,2.047378141140306,9.164595360051973,-0.02878908023368666,107.56666666666668,256.06666666666666,1.9336554627078975,8.711488232883514,-0.167723873485638,129.38333333333335,251.63333333333335,-0.11372267843240835,-0.45310712716845813,21.816666666666677,-4.433333333333309,0.04840792134264167,0.007644533019231524,,6.195998077607586e-07,3.263987203478517e-05,0.047719299591747415,0.0033653258189212565,0.019061018818991676,0.5750655467921327,0.014424928596519103
819,2.372604225229005,9.676013318377901,0.0,227.7333333333333,237.34999999999997,2.383591923828206,9.896421413706141,0.0,226.78333333333336,236.98333333333335,0.01098769859920079,0.22040809532824035,-0.9499999999999318,-0.3666666666666174,2.6508934298675193,10.534814508234767,-0.01919153714178695,96.61666666666667,230.2,2.7110265155526108,10.591922038096774,-0.0697972410506151,85.95,225.6833333333333,0.06013308568509146,0.057107529862006956,-10.666666666666671,-4.51666666666668,0.447829839407191,4.189183772741595e-06,,0.4804587586350859,0.7017978496529143,0.19287376382150678,0.6095802165857755,0.19462476412678564,0.7440268118377689,0.09425887147399437
