,obs_mean,obs_summer_mean,obs_warmest_mean,obs_coldest_mean,obs_ice_duration,obs_cloud_mean,obs_cloud_summer_mean,obs_cloud_warmest_mean,obs_cloud_coldest_mean
799,20.504018317390475,26.152666655830743,27.783817685034993,11.619468481139068,0.0,22.681690849210135,26.104992988098985,27.76091826373358,11.661060811191865
3114,7.123700398298847,2.7819605743476536,13.696025863111352,1.8131558439854827,9.333333333333334,6.710325353881812,2.7022938352388057,14.078819050902043,1.6988794362100075
7889,9.05057976201761,4.281037634302528,14.926540624002337,3.5528551517463147,2.0,8.435909627407995,4.068613371923481,15.053245620291529,3.4663927776781156
2516,6.4191246003240945,2.6688702425071855,12.646655505874277,1.1348233472001052,24.133333333333333,6.113519456371308,2.58048555351784,13.331517906152293,0.9269402256718616
12262,6.316758421217744,1.6856019954033652,12.943616493799375,0.8123342310108927,29.6,5.845738644473312,1.6871737057760126,13.26714799529453,0.6997727226916886
1519,9.586111158552134,4.753401923027044,15.517975338898278,3.930051869479087,1.6,8.699033555476648,4.463845858256047,15.835532702463901,3.761542307821762
3053,19.196196627546154,21.2799187816545,21.756976287327454,16.352460311393862,0.0,18.323504889779457,21.16073167885674,21.802894809254674,16.352358867660932
1203,12.29988766576411,23.06702508189254,24.180773247612876,0.49221971130353254,54.6,16.48029859529051,23.211472196103337,24.205759564692578,0.3944569380826052
3350,9.180573559506048,17.61987350947404,18.871917662585826,0.5134738665385935,49.0,11.427786094921315,18.405174002186698,19.442979669687748,0.5754987832689585
3607,26.627167196610923,27.651559848140426,29.0556018297476,22.35754825442115,0.0,25.614151080530355,28.615477038770344,29.578356461348385,22.381335191866807
2364,17.855813104012558,10.509184299978019,26.34788207050723,9.747302601344488,0.0,18.161318734722276,10.527477501687573,26.491250205075847,9.768035791857958
3025,12.936215642526554,6.0884209147981805,20.746050689969042,4.832135208341159,1.1333333333333333,14.038303634114058,5.7111806075464955,20.778425990711188,4.454814266942097
2532,8.682002520260255,15.465643958865337,16.803821828243297,1.4583482414213942,22.4,9.099431203334769,15.592061813999743,17.39125657495453,1.5425550033910644
562,15.350832899531936,9.654318944958698,21.26513258874264,9.117473365756373,0.0,14.374038620553613,9.631059213400343,21.510523424975894,9.106140016677527
1526,8.897944340848335,3.847975889184357,15.047560688871089,3.1023293187120626,3.6666666666666665,8.307029036032699,3.5607096156855,15.349985081119321,2.9397812906901284
3109,10.493935802724545,4.307066021782634,18.73863062704765,3.291151106766561,0.0,12.618675214741344,4.403456657937512,19.093019855504576,3.1927794805352336
1057,9.609604577797157,4.904662267073596,15.38637587571232,4.145218150740362,1.3333333333333333,9.082323032090734,4.509608601867027,15.568428782306672,3.9488346848894054
2965,24.972882579722963,23.11154369962391,26.64807079201249,22.492597284624683,0.0,25.475763985475815,22.973427065500793,26.73557711303552,22.660804466671436
455,22.986186519257764,27.168089175109156,28.21933196520153,16.521254073733097,0.0,21.83373790884044,27.265921107772154,28.32585306439374,16.524045088796747
2186,3.6835245965845442,0.025662616624578076,11.179105559044865,-6.551981824463571e-05,173.66666666666666,4.031465321610686,0.015004613831309629,11.375572331824426,-0.0002320777045129174
2724,24.668954797528713,21.837104117239285,27.882763147473376,20.908738442332478,0.0,24.537814641909456,21.90275271874399,27.99927633728762,20.925769455979513
3132,27.791511563969905,27.43682246633145,28.466362274972084,27.048116025389188,0.0,27.711333319645654,27.423875607146094,28.503299062246178,27.056074459377303
1218,19.848910633557608,18.056741764695197,21.390726840821223,17.670581255676954,0.0,19.878798350038796,18.05267651900847,21.365255287068006,17.67534616339064
1943,22.349719771241155,18.726681768721452,25.85265037821798,18.181106620706558,0.0,21.6987130097916,18.822043041026976,26.05844279281097,18.211430548023916
2111,27.791511563969905,27.43682246633145,28.466362274972084,27.048116025389188,0.0,27.74114417328343,27.444235039140352,28.499881866532622,27.0406576879749
3191,9.549345872537211,19.619874585645626,22.77069047205197,0.010786209963739765,90.66666666666667,13.34923159593456,19.682723235917432,23.460050417940916,0.3231431525517176
1913,16.22614078037213,24.393351952608523,25.297066644846936,6.963184789380168,0.0,18.454841877688185,24.63327219601308,25.353385686590602,6.487166038246402
833,25.848803081293163,27.391313919122695,28.749632596023922,20.88577019570419,0.0,24.627929274608235,28.249065174936838,29.14334625385428,20.747426424696574
975,22.83788821039436,17.67794788962573,28.77802689446346,16.659226439141783,0.0,22.248968703146737,17.682294717119152,28.639262288026703,16.596700452887095
2271,24.63190829184267,21.400982772440173,27.224950319769707,20.8305106268989,0.0,23.80088295997406,21.405873856490054,27.405719362645602,20.84021333936969
2427,22.635619568620275,15.985441155576895,28.64799554216394,15.114781796837322,0.0,21.238569542929113,16.094928144478757,29.047057282886833,15.098861772872038
2554,8.543383850907484,16.927230951443086,18.238634462121695,0.24367755880883296,64.06666666666666,11.0469764650864,17.125879200279552,18.448196784061615,0.2017139896201068
588,6.048390060571503,11.715162195095836,13.279491653436006,0.32725436029470795,66.8,6.607349308527578,12.2512347776533,13.615177027350228,0.32443249637212346
957,20.10942567668782,16.73024779333587,23.50802269645536,16.13518479323304,0.0,20.282503577343228,16.974543753124443,24.03098390649257,16.158197974374072
1632,6.958488040870778,16.522622211988256,18.34872328296618,0.0011837536665071729,137.46666666666667,9.891554603948983,17.12038609264047,19.01879157206564,-0.0003416942500299909
3007,27.92891476185516,27.625788271973043,28.493704765711804,27.22695390507599,0.0,27.872169866274703,27.64709049805422,28.561516261923604,27.209427851237987
3200,15.126752083944284,23.789393131053416,24.354805936369015,4.275694768835517,2.8,18.393177008701514,23.78444467920634,24.365786743902028,4.230465428596712
3208,11.214708194290578,20.257813494217018,21.29281377894906,1.1129489323735995,22.866666666666667,13.851760730221713,20.494701136593033,21.377457809440603,1.0703321161800063
2313,21.145658615591806,20.039115490660024,22.145369522513402,19.65909544011601,0.0,20.770695833712168,19.912792630346715,22.15231919931148,19.62024593393587
3379,7.367121761408148,17.048314326742446,18.714403395567345,1.1313870662529388e-05,129.06666666666666,10.414730501405307,17.991886035766203,19.465812046691788,-0.00034169906222679956
1273,9.864106437702626,12.344350844918091,12.584220408423445,6.3786828878532855,0.0,8.863804503473691,12.31119501492751,12.644270539960383,6.372285974870876
2907,12.327073814135433,14.298967452591619,14.614672811638771,9.602929604096252,0.0,11.559340602241003,14.236370438387159,14.590026278154067,9.601524276064106
3196,13.161145137331086,6.717973391962792,20.923319078900906,5.5764398281707575,0.0,14.343402108868064,6.533664023215201,21.04176340493924,5.374768791571266
2129,11.464891818689978,22.073837409272887,22.96096814336745,0.16869662568563099,72.0,15.11111589342064,22.510042576406217,23.373515723854734,0.05241420473373574
594,2.914149891031271,7.9206777862880795,11.802710264472577,-0.00034179687497720013,224.53333333333333,3.589041826852579,8.367165764370872,12.144967554258772,-0.00034179687497720013
702,7.580293955486442,0.3327957305927218,19.33555476417681,-0.00034179687497720013,124.66666666666667,9.9790930164096,0.35024044571293805,19.45063817462983,-0.00034179687497720013
893,8.456740898043694,16.193614717382186,18.3067881279949,0.9969569611402709,20.066666666666666,10.53857299471909,16.59685120544436,18.40815716987997,0.9528432577084552
