cci_lake_id,a2w_mean,a2w_warmest_mean,a2w_coldest_mean,a2w_ice_days_0,a2w_ice_days_076,a2w_cloud_mean,a2w_cloud_warmest_mean,a2w_cloud_coldest_mean,a2w_cloud_ice_days_0,a2w_cloud_ice_days_076,a2w_diff_mean,a2w_diff_warmest_mean,a2w_diff_ice_days_0,a2w_diff_ice_days_076,lstm_mean,lstm_warmest_mean,lstm_coldest_mean,lstm_ice_days_0,lstm_ice_days_076,lstm_cloud_mean,lstm_cloud_warmest_mean,lstm_cloud_coldest_mean,lstm_cloud_ice_days_0,lstm_cloud_ice_days_076,lstm_diff_mean,lstm_diff_warmest_mean,lstm_diff_ice_days_0,lstm_diff_ice_days_076,a2w_pval_mean,a2w_pval_warmest_mean,a2w_pval_coldest_mean,a2w_pval_ice_days_0,a2w_pval_ice_days_076,lstm_pval_mean,lstm_pval_warmest_mean,lstm_pval_coldest_mean,lstm_pval_ice_days_0,lstm_pval_ice_days_076,a2w_lhw_n_events,a2w_lhw_intensity,a2w_lhw_duration,a2w_cloud_lhw_n_events,a2w_cloud_lhw_intensity,a2w_cloud_lhw_duration,lstm_lhw_n_events,lstm_lhw_intensity,lstm_lhw_duration,lstm_cloud_lhw_n_events,lstm_cloud_lhw_intensity,lstm_cloud_lhw_duration
799,20.690194674757656,27.682955759044226,12.553654560753907,0.0,0.0,20.74720009313946,27.347589990252878,13.045677809316095,0.0,0.0,0.057005418381802286,-0.3353657687913483,0.0,0.0,20.743157616629727,27.853335991172553,12.16691358962377,0.0,0.0,20.527483899003915,27.700811381843316,11.914824475576072,0.0,0.0,-0.2156737176258119,-0.1525246093292374,0.0,0.0,0.3511543268972792,0.00031330043262668694,0.00048248738242618455,,,0.0007602776989447266,0.01849897161122633,0.010419655027049597,,,57.7,2.3910063553723537,8.098714197854346,54.8,2.5246624987996844,7.695547309833023,44.4,3.4733211407230953,8.297179371658348,38.7,3.5751286948075327,7.328680895050527
3114,7.1858806437224345,13.087192669238252,1.666020174342292,1.4333333333333333,7.333333333333334,7.24953797048069,13.310924836063498,1.6343503405901096,1.3047619047619048,7.023809523809524,0.0636573267582552,0.22373216682524522,-0.12857142857142856,-0.3095238095238102,7.245501810756915,13.8843665578213,1.8819522883529114,1.0571428571428572,6.909523809523809,7.028361651281846,13.553490748847926,1.8241943377643668,0.5047619047619047,7.347619047619048,-0.21714015947506926,-0.3308758089733743,-0.5523809523809524,0.4380952380952392,0.00019394340972418958,0.004695599315160221,0.17182639664391383,0.4737402404978377,0.5655910253212493,0.0022398729857872708,0.009923977202588821,0.3859108647921964,0.01601178815727464,0.6945933514113707,63.4,1.5338221614374534,8.196610637578031,61.4,1.6139309688270047,8.483829228412793,48.2,2.1975441308634864,9.60381180927505,44.6,2.1411162144436524,9.036964803951061
7889,9.13295043372042,14.950175505091092,3.700599119236793,0.5476190476190477,1.2952380952380953,9.181010581126552,14.9805338335243,3.7677542221030245,0.47619047619047616,1.0095238095238095,0.04806014740613129,0.030358328433207404,-0.07142857142857151,-0.2857142857142858,9.166655831676328,15.156784562089092,3.664302785959621,0.06190476190476191,1.3,9.17141983005078,15.159258106067588,3.7601239102880255,0.019047619047619046,0.8523809523809524,0.004763998374452072,0.0024735439784961955,-0.04285714285714286,-0.4476190476190477,6.515152670403435e-06,0.4582801090886426,0.02523689800850304,0.529458271288101,0.31995592205351486,0.9350423872096061,0.9814506928866192,0.18039139071777738,0.08864432704198846,0.023904914736642573,64.3,2.0747500382154938,8.34651365995116,65.5,2.0387055195168804,8.222918228315958,57.5,2.3491577165393247,10.153251516821019,55.8,2.390098873328861,9.75995762405079
2516,6.492543013003589,12.092134420022555,1.0876537667740849,2.4285714285714284,16.623809523809523,6.527544711910926,12.29479467582692,0.9651949724794374,3.3,19.495238095238097,0.03500169890733673,0.2026602558043642,0.8714285714285714,2.8714285714285737,6.548685849746638,12.95743680814132,1.1906994061517708,4.728571428571429,21.733333333333334,6.396574557059849,12.366305741935484,1.4516141753719332,1.580952380952381,13.447619047619048,-0.15211129268678913,-0.5911310662058362,-3.1476190476190475,-8.285714285714286,0.017313048774163113,0.014648795632085326,2.7297782442272384e-05,0.2449943145595117,0.020121911805202695,0.03781462431918257,0.0002332471119837942,0.007968606616625976,0.00034598453578756717,0.00206513499446518,56.5,1.3105084447698676,9.636290252877586,55.4,1.4436316339793147,8.73607877405482,41.8,2.0694211601243397,11.14196911196911,40.1,1.951274540092485,9.433167138955875
12262,6.376228232323885,12.546429351464162,0.7138074519664351,13.342857142857142,37.719047619047615,6.35859797039081,12.604568370440626,0.6504776935276475,13.814285714285713,39.66190476190476,-0.01763026193307482,0.058139018976463674,0.47142857142857153,1.942857142857143,6.444530752048239,13.230625736021505,0.9111701052601339,3.2095238095238097,27.20952380952381,6.337317479938189,13.145650330414748,0.8186204896346005,3.4142857142857137,29.847619047619048,-0.10721327211004983,-0.08497540560675709,0.20476190476190403,2.6380952380952394,0.12771829152158037,0.3478635997528232,0.0009838036172684663,0.4389940803972071,0.005281944514360267,0.00023607537578511345,0.18168108249055148,0.0027747007590982697,0.7651556085350475,0.0035213907273180774,56.9,1.61087367880176,9.06394382072816,57.4,1.5925632971747499,8.950264644015487,43.4,2.097106960159416,13.146305225507353,44.0,2.086351360788334,11.568443321211028
1519,9.701139455781343,15.65247863840482,4.1699325630338775,0.5809523809523809,1.1904761904761902,9.754581118062053,15.775333174168106,4.182305243364804,0.3238095238095238,0.7761904761904762,0.05344166228070968,0.12285453576328642,-0.25714285714285706,-0.41428571428571404,9.710324855438255,15.811570746362005,4.020509890780739,0.06666666666666667,1.3047619047619046,9.543365332503287,15.694127847529444,3.9657921533088127,0.08571428571428572,1.157142857142857,-0.16695952293496852,-0.11744289883256087,0.01904761904761905,-0.14761904761904754,0.004048739836899412,0.008030801159464739,0.5608260412663669,0.0830514853830611,0.129480650813831,0.00010414194310170444,0.10866344822098029,0.3055743502173397,0.6182459307382301,0.4856413392477432,60.1,2.208892113878991,8.881692778542385,60.3,2.114759190248015,8.982604604176677,57.4,2.352289658341179,10.459174045659527,54.3,2.5224713702378527,9.836431628586194
3053,19.257729213026682,21.85014082833244,16.394487629028703,0.0,0.0,19.190652576487995,21.780715741494244,16.345369168906675,0.0,0.0,-0.06707663653868678,-0.06942508683819426,0.0,0.0,19.22837418487614,21.656585635395714,16.42884181796211,0.0,0.0,19.21446142569752,21.69550841611352,16.4072119053149,0.0,0.0,-0.013912759178619893,0.03892278071780453,0.0,0.0,0.10475389820009513,0.20469376223077107,0.5628994206365231,,,0.39401598699258145,0.12783105990046437,0.35900842485257456,,,46.4,1.2711555379371084,11.096929531252414,47.2,1.1403092426953156,10.200373213577754,37.4,0.6927405039431831,15.645189686914563,35.8,0.7494665024132916,14.825847767030513
1203,12.245200389890584,24.963431288907266,0.4666006010218341,32.209523809523816,49.99523809523809,12.475945016536674,24.58226140551564,0.6650582486452239,13.947619047619048,34.45714285714286,0.2307446266460893,-0.3811698833916246,-18.261904761904766,-15.53809523809523,12.57313227523478,24.300232395852536,0.6591925320409356,14.933333333333334,41.72380952380952,12.524966213411973,24.256196359754224,0.6033310739065028,18.03333333333333,40.509523809523806,-0.04816606182280658,-0.04403603609831208,3.099999999999998,-1.2142857142857153,0.17479225908975138,0.005332529400314811,0.004131064007869909,0.06118403196811741,0.06696674013775608,0.04223872991176977,0.41626747164125466,0.19193779658343638,0.17452649936816214,0.30918231150328757,49.1,1.9390052853858806,8.90528941125581,46.5,1.5109495768854733,8.267228385669773,29.7,2.506115232848288,12.504203520519566,29.5,2.6165353914400535,11.251108690626456
3350,9.29504004375502,18.882665954807727,0.7032589953059553,30.561904761904763,45.747619047619054,9.322076839239854,19.126417399110398,0.5922353574410781,32.99523809523809,48.761904761904766,0.027036795484834286,0.2437514443026707,2.43333333333333,3.0142857142857125,9.398075923512206,19.024456209964153,0.8441493262108214,8.5,39.9,9.175134581148637,18.845232563673836,0.7716659549135239,12.280952380952382,41.180952380952384,-0.2229413423635691,-0.17922364629031762,3.7809523809523817,1.2809523809523853,0.00348572712050421,8.848194141012424e-10,1.7627763670685043e-10,0.003280298453521404,2.5340638796895522e-05,1.7715514350091147e-06,0.07182020157370195,0.1802282664152898,0.30149862324725757,0.24360206801104792,60.8,2.6745010632217925,8.203363073625606,61.6,2.5678349218647196,8.508341144767861,43.1,3.140287651034243,10.549301196901226,43.5,3.237692282159189,10.189584147207421
3607,26.696698420348792,28.904214960714143,23.153795082982374,0.0,0.0,26.827689472026996,29.332551219642255,22.80927259669316,0.0,0.0,0.13099105167820468,0.42833625892811256,0.0,0.0,26.692697618161667,29.11677161290323,22.51192092336459,0.0,0.0,26.560008106153845,28.957554198085,22.490749077228667,0.0,0.0,-0.13268951200782197,-0.15921741481822949,0.0,0.0,0.001554044079148805,1.6240669594285834e-05,8.148628325649655e-07,,,5.4656602953326834e-05,0.00592342496367335,0.6170025474975587,,,55.0,1.7650172806238373,9.00225603232175,48.6,1.7711986378851594,8.503887643740155,48.0,2.307147951024091,8.60756733942803,43.3,2.4488678165505164,8.215214623861241
