,a2w_full,a2w_cloud,lstm_full,lstm_cloud,obs_full,obs_cloud,lake_id
25%,5.771483155888303,5.818202821889825,6.6880207,5.925929,6.205128606160486,6.00397644042971,3109
50%,10.536468274292064,10.41572711003775,10.542131,10.494764,10.356331125895224,9.57327486673995,3109
75%,16.51061522671503,16.219168406546903,16.842316,17.115673,16.617765680948935,15.510074234008812,3109
95%,19.34479473993628,19.011637172195147,19.71856,19.243181,20.22807782491049,19.25211124420169,3109
5%,4.357139103578661,4.233543627586363,4.332716,4.2762704,4.387689844767294,4.503390725453753,1057
25%,6.273156283802484,6.152066501883632,6.420923,6.3101215,6.343103027343716,6.4212062517802195,1057
50%,9.74454453364458,9.69427191814784,9.886953,9.945087,9.79930203755697,10.017548179626488,1057
75%,13.926380392087484,13.92230197934143,13.77314,13.820463,13.748924509684286,13.95325749715174,1057
95%,16.073924038405107,15.943656352942655,16.361765,16.224224,16.476155853271507,16.249304421742764,1057
5%,22.9584547454123,23.27138956249322,22.987139,23.122458,22.95689417521163,22.957172870636025,2965
25%,24.239285101205557,24.0563939461833,24.163544,24.204826,24.0141426086426,23.986905829111763,2965
50%,25.519725425558672,25.1404134759767,25.632462,25.634644,25.61646423339846,25.6130112965902,2965
75%,26.56495462554004,26.330161608427257,26.319164,26.327717,26.270338948567712,26.258932367960636,2965
95%,27.594266835091524,27.05380661722819,26.914358,26.962353,26.91471570332845,26.914639186859134,2965
5%,14.96442043160881,15.229078492501458,16.12515,16.450558,15.85117111206057,16.49791997273767,455
25%,18.890993010434435,19.121056756952388,19.120647,18.830845,18.94471638997396,20.865037536621116,455
50%,24.467581693910866,24.495037610932947,24.46112,24.724964,23.575652058919275,26.022323226928734,455
75%,27.24628552507003,27.35051395797991,27.183971,27.175299,26.787358856201195,27.11625188191735,455
95%,28.755383068430923,28.97696427330111,28.269978,28.210217,28.76343688964846,28.78250471750896,455
5%,0.0,0.0,-0.13790607,-0.11065817,-0.0003417968749772,-0.0003417968749772,2186
25%,0.0,0.0,0.03206396,0.062267303,-0.0003417968749772,-0.0003417968749772,2186
50%,1.2522003623915092,1.6056494032100672,1.2910838,1.4449835,1.370393371582054,1.639199829101642,2186
75%,7.717136648256555,7.502982930148821,6.778387,7.0162287,7.160388565063499,7.429536437988304,2186
95%,10.904609063254942,11.11360080228211,11.371705,11.246458,11.259798940022849,11.268687184651741,2186
5%,21.24580158062904,21.481483151813517,21.745018,21.779709,21.79807185690845,21.78961979035523,2724
