cci_lake_id,a2w_t95,a2w_median,a2w_t05,a2w_tmax,a2w_cloud_t95,a2w_cloud_median,a2w_cloud_t05,a2w_cloud_tmax,lstm_t95,lstm_median,lstm_t05,lstm_tmax,lstm_cloud_t95,lstm_cloud_median,lstm_cloud_t05,lstm_cloud_tmax
2649,4.657160284793738,18.86134547226702,30.020800029016954,31.740670173567324,4.6418621654385275,18.76862099622034,29.877487985116886,31.578933239255406,5.105131310000001,18.84638322,30.481134375999996,33.24040309428571,5.0883641262,18.852676820000003,30.480922999999997,33.03834783928571
3534,0.0,0.0,9.832670722452136,10.402748477015683,0.0,0.0,10.015155406413417,10.742563730270328,-0.10261573318599998,0.04262100448000001,10.115002436,11.164401133928571,-0.141627017404,0.06374226564,10.143305488999998,10.952897079999998
2203,0.0,0.0,7.776594888527543,8.076533974873941,0.0,0.0,7.920976711436956,8.26265794439655,-0.07443692547599999,0.07711886428,7.955793790799998,8.67637259607143,-0.106084701498,0.11328959505000002,7.950399546199999,8.591325572642857
2613,0.0,0.0,8.44466782085751,9.178702739805855,0.0,0.0,8.580862139871103,9.398636700847026,-0.10342584072600002,0.028830959809999997,8.614797484999999,9.656579486071427,-0.13873759015999998,0.04012095342,8.731645146999998,9.417968495714286
3156,0.0,0.0,7.6411739249509445,8.366728229422124,0.0,0.0,7.641624532992941,8.434895374209786,-0.08160637136800002,0.029656456721,7.7851056943999986,8.465622418,-0.10555536520799999,0.041090482544,7.804587527199998,8.35341681342857
3343,0.0,0.0,10.479252413441404,10.87038007560362,0.0,0.0,10.694329443326646,11.18371518044901,-0.106421148986,0.05649504189800001,10.774147007000002,11.853483621071428,-0.147003424888,0.09841174598,10.769496167,11.68179002285714
3539,0.0,0.0,10.491852231940124,10.846216666328871,0.0,0.0,10.6341260728265,11.12247904975444,-0.107832251384,0.049200174663,10.833613809,11.912759158214286,-0.14920697073999997,0.08545462394999999,10.844739851999998,11.756066612142856
300001257,0.0,2.9423313444382404,22.429065483346577,23.209017481831044,0.0,2.9820098730310853,22.341872515465926,23.118329970031265,-0.09593939389919998,3.9026867009999995,23.59279552000001,25.79997943357143,-0.10674165648888799,4.026217444,23.315165288,25.36869726428571
1107,5.724690249401509,20.08192814330502,30.912211382441228,32.461564039984864,5.658377067043013,19.952883145630864,30.740375076509427,32.27586942994618,5.9233736956000005,19.94970247,31.441390981999987,33.55158565357143,5.9033250524000005,19.974334220000003,31.470209291999996,33.326535325
1979,3.8799770396739435,18.879019451059786,30.253901715055072,31.922682141133638,3.801696278716595,18.780996906484468,30.188482434281628,31.861665985073046,3.8070919441999997,18.867555730000003,30.276476241999994,31.79318617357143,3.8393360786000006,18.887107690000004,30.274848193999997,31.703290397142865
2517,0.0,2.4972503298207966,19.685412437707395,21.16274685203263,0.0,2.5341466372903723,19.82418441186383,21.18367484899505,-0.07279504025483999,2.9504841820000007,20.350138119999997,22.089604507857143,-0.09312404048700001,2.9832292029999996,20.309679555999995,21.969531552857138
531,3.863862748617172,18.885926490250778,30.275344306138805,31.951094047259726,3.752482167205687,18.76829069935763,30.11960449886036,31.80639202515873,3.8070919441999997,18.867555730000003,30.276476241999994,31.79318617357143,3.85162538,18.90585536,30.261603702,31.639785943571432
1503,3.515710863937827,17.867495391433906,29.09817109594387,30.605943638731038,3.4806788380586484,17.874163253411865,29.1476018711285,30.68901862280024,3.8339046158000003,17.771135599999997,29.44053262,32.15652019071429,3.8638196886000005,17.792143030000002,29.441986257999993,32.11108192785715
1806,0.0,0.0,7.734950439358005,8.093322802719468,0.0,0.0,7.925343175458127,8.356504176656793,-0.07983956002199998,0.04891449809,7.889749450599998,8.808981888642858,-0.11197638848199999,0.06940546969,7.970625947399998,8.82029303992857
1917,0.0,0.0,8.28317616673445,9.177821744260838,0.0,0.0,8.335800333671063,9.257028789582675,-0.09890359584799999,0.030557945979000002,8.455750428999998,9.1184333425,-0.12131361297600002,0.041062302720000006,8.475873227999998,9.058681546714286
2116,0.0,0.0,12.296594953982396,12.55757913511343,0.0,0.0,12.53655096373264,12.845457352440194,-0.0759290530292,0.13935446005000002,12.476556215999997,13.410809008928572,-0.13154813098999998,0.20166246409000002,12.520803373000001,13.38995339
2786,0.0,0.0,8.544179185210194,9.60687560919089,0.0,0.0,8.526571536307316,9.575504295824748,-0.109700939698,0.032444404261,8.710518566,9.577023508214289,-0.133503291618,0.04863978136000001,8.708249183,9.364752518571429
2018,0.0,3.591380105286805,22.57699469434966,23.359036205082717,0.0,3.5907626945105067,22.58635752473603,23.347810944007087,-0.09219947227059999,4.633117594,23.572670950000003,25.58095303571429,-0.1280409959364,4.648425552000001,23.407274344,25.20189280214286
2138,0.0,0.0,8.062091993705469,8.581163917490178,0.0,0.0,8.118306514952188,8.654986198248286,-0.099109849586,0.035024014613000004,8.210369484000001,8.854825393714286,-0.108367973996,0.04399258861999999,8.225396255399998,8.757364123571428
2361,0.0,0.0,8.837071559413381,9.408911131488098,0.0,0.0,8.940267641742569,9.607959415539376,-0.09086407914599999,0.0342127596876,9.074120104999999,9.99308493107143,-0.14006749566200002,0.05626705638,9.088377680999999,9.802817472142857
2511,0.0,0.0,8.090656423190135,8.593939785186153,0.0,0.0,8.130281307990886,8.664055240606622,-0.09176015238599998,0.036170624476,8.324213121999998,9.048083977857143,-0.11385213132,0.047410436976999995,8.351962796999997,8.907709644214286
2877,0.0,0.0,7.6082889311365145,8.315792157251702,0.0,0.0,7.707265986544776,8.476574531881262,-0.08160637136800002,0.029656456721,7.7851056943999986,8.465622418,-0.10791309117799999,0.04440227877,7.869361147199999,8.407873560857144
2946,0.0,0.0,12.038643041454087,12.284286811374866,0.0,0.0,12.076183460970453,12.312132233446764,-0.09445258719799998,0.12705733316,12.268519339999997,13.382082936428567,-0.12126389901999998,0.18056455136999996,12.217916978999996,13.266653732857142
1358,4.009282939055531,18.285421657782297,29.20180015995977,30.89244581721683,3.941438964497245,18.192894738977834,29.12519814379484,30.807218281707673,4.542041362999999,18.276704730000002,29.393209328,31.497952733571427,4.541682498,18.259894799999998,29.388300797999992,31.355200071428566
1445,0.0,0.0,6.298510905496309,6.693044396702589,0.0,0.0,6.398983887480531,6.817700053056346,-0.079733339526,0.030760502862200004,6.323401662,6.91246571,-0.10432745975000002,0.039539283640000006,6.410988798399999,6.934495508428572
